file_name,site_id,flag_rain,flag_anthrophony
S4A25468_20240510_000600.wav,site_1,FALSE,FALSE
S4A25468_20240510_000600.wav,site_1,FALSE,FALSE
S4A25468_20240510_001200.wav,site_1,FALSE,FALSE
S4A25468_20240510_001200.wav,site_1,FALSE,FALSE
S4A25468_20240510_001800.wav,site_1,FALSE,FALSE
S4A25468_20240510_001800.wav,site_1,FALSE,FALSE
S4A25468_20240510_002400.wav,site_1,FALSE,FALSE
S4A25468_20240510_002400.wav,site_1,FALSE,FALSE
S4A25468_20240510_003000.wav,site_1,FALSE,FALSE
S4A25468_20240510_003000.wav,site_1,FALSE,FALSE
S4A25468_20240510_003600.wav,site_1,FALSE,FALSE
S4A25468_20240510_003600.wav,site_1,FALSE,FALSE
S4A25468_20240510_004200.wav,site_1,FALSE,FALSE
S4A25468_20240510_004200.wav,site_1,FALSE,FALSE
S4A25468_20240510_004800.wav,site_1,FALSE,FALSE
S4A25468_20240510_004800.wav,site_1,FALSE,FALSE
S4A25468_20240510_005400.wav,site_1,FALSE,FALSE
S4A25468_20240510_005400.wav,site_1,FALSE,FALSE
S4A25468_20240510_010000.wav,site_1,FALSE,FALSE
S4A25468_20240510_010000.wav,site_1,FALSE,FALSE
S4A25468_20240510_010600.wav,site_1,FALSE,FALSE
S4A25468_20240510_010600.wav,site_1,FALSE,FALSE
S4A25468_20240510_011200.wav,site_1,FALSE,FALSE
S4A25468_20240510_011200.wav,site_1,FALSE,FALSE
S4A25468_20240510_011800.wav,site_1,FALSE,FALSE
S4A25468_20240510_011800.wav,site_1,FALSE,FALSE
S4A25468_20240510_012400.wav,site_1,FALSE,FALSE
S4A25468_20240510_012400.wav,site_1,FALSE,FALSE
S4A25468_20240510_013000.wav,site_1,FALSE,FALSE
S4A25468_20240510_013000.wav,site_1,FALSE,FALSE
S4A25468_20240510_013600.wav,site_1,FALSE,FALSE
S4A25468_20240510_013600.wav,site_1,FALSE,FALSE
S4A25468_20240510_014200.wav,site_1,FALSE,FALSE
S4A25468_20240510_014200.wav,site_1,FALSE,FALSE
S4A25468_20240510_014800.wav,site_1,FALSE,FALSE
S4A25468_20240510_014800.wav,site_1,FALSE,FALSE
S4A25468_20240510_015400.wav,site_1,FALSE,FALSE
S4A25468_20240510_015400.wav,site_1,FALSE,FALSE
S4A25468_20240510_020000.wav,site_1,FALSE,FALSE
S4A25468_20240510_020000.wav,site_1,FALSE,FALSE
S4A25468_20240510_020600.wav,site_1,FALSE,FALSE
S4A25468_20240510_020600.wav,site_1,FALSE,FALSE
S4A25468_20240510_021200.wav,site_1,FALSE,FALSE
S4A25468_20240510_021200.wav,site_1,FALSE,FALSE
S4A25468_20240510_021800.wav,site_1,FALSE,FALSE
S4A25468_20240510_021800.wav,site_1,FALSE,FALSE
S4A25468_20240510_022400.wav,site_1,FALSE,FALSE
S4A25468_20240510_022400.wav,site_1,FALSE,FALSE
S4A25468_20240510_023000.wav,site_1,FALSE,FALSE
